Year,Total_Stud
1959,3639847
1961,4145065
1963,4779609
1964,5280020
1965,5920864
1966,6389872
1967,6911748
1968,7513091
1969,8004660
1970,8580887
1971,8948644
1972,9214860
1973,9602123
1974,10223729
1975,11184859
1976,11012137
1977,11285787
1978,11260092
1979,11569899
1980,12096895
1981,12371672
1982,12425780
1983,12464661
1984,12241940
1985,12247055
1986,12503511
1987,12766642
1988,13055337
1989,13538560
1990,13818637
1991,14358953
1992,14487359
1993,14304803
1994,14278790
1995,14261781
1996,14367520
1997,14502334
1998,14506967
1999,14849691
2000,15312289
2001,15927987
2002,16611711
2003,16911481
2004,17272044
2005,17487475
2006,17754230
2007,18258138
2008,19081686
2009,20313594
2010,21019438
2011,21010590
2012,20644478
2013,20376677
2014,20209092
2015,19988204
2016,19846904
2017,19778151
2018,19651412
2019,19630178
2020,19027410
2021,18658756
1958,3242000
1960,3570000
1962,4208000
